"Time Interval","No. of Connections"
"0","75"
"1","88"
"2","112"
"3","72"
"4","72"
"5","61"
"6","112"
"7","90"
"8","67"
"9","70"
"10","63"
"11","57"
"12","140"
"13","61"
"14","67"
"15","47"
"16","55"
"17","36"
"18","39"
"19","62"
"20","30"
"21","38"
"22","58"
"23","63"
