"Time Interval","No. of Connections"
"0","135"
"1","102"
"2","94"
"3","109"
"4","149"
"5","191"
"6","90"
"7","106"
"8","109"
"9","130"
"10","119"
"11","119"
"12","122"
"13","93"
"14","66"
"15","106"
"16","111"
"17","64"
"18","98"
"19","70"
"20","81"
"21","83"
"22","205"
"23","257"
