"Client IP",Server IP",Data Sent","Data Recieved"
"155.138.180.253","128.3.12.44","1703","2251"
"155.95.241.100","128.3.12.44","895","1257"
"156.139.170.126","131.243.1.10","1996","6115"
"156.190.224.34","131.243.2.12","2766","3606"
"157.115.222.79","131.243.1.10","749","3857"
"157.215.230.139","131.243.1.10","977","3415"
"157.231.148.18","131.243.2.12","151292","4987"
"158.179.106.212","128.3.12.44","2537","2599"
"159.105.179.102","131.243.1.10","4485","10247"
"16.31.10.206","131.243.1.10","1747","5581"
"16.69.134.221","131.243.2.12","36379","2741"
"16.87.232.184","131.243.1.10","4780","9396"
"160.150.170.213","131.243.1.10","4139","10295"
"160.155.126.44","131.243.1.10","1125","4227"
"160.71.218.255","131.243.1.10","3879","10066"
"161.126.87.140","131.243.1.10","4089","10514"
"161.206.176.161","131.243.1.10","907","3992"
"161.248.223.152","131.243.2.12","103894","5031"
"161.60.254.203","131.243.1.10","775","3801"
"161.86.54.158","128.3.12.44","1433","2259"
"163.197.216.143","131.243.1.10","1342","4816"
"163.243.239.96","131.243.1.10","813","3837"
"163.50.170.250","131.243.1.10","1319","4605"
"164.166.204.10","131.243.1.10","10142","18722"
"165.114.58.48","131.243.1.10","676","3663"
"165.128.231.76","131.243.1.10","765","3811"
"165.16.26.143","131.243.1.10","1125","4350"
"165.2.238.121","131.243.1.10","1551","4283"
"165.252.43.195","131.243.2.12","59211","2424"
"165.78.71.101","128.3.28.48","2094","1605"
"166.76.154.15","131.243.1.10","1087","4201"
"167.132.136.3","128.3.12.44","4402","2571"
"167.19.152.85","131.243.1.10","1065","4474"
"167.67.226.104","131.243.2.12","2198","4108"
"168.108.180.210","131.243.1.10","1571","5194"
"168.254.152.132","131.243.2.12","28563","3450"
"169.245.157.14","131.243.1.10","3405","8302"
"169.91.193.90","131.243.1.10","1260","4165"
"17.57.42.181","131.243.1.10","748","3823"
"171.1.7.162","128.3.28.48","383449","465262"
"171.142.200.244","131.243.1.10","1727","4799"
"172.125.153.219","131.243.1.10","913","3602"
"173.112.82.221","131.243.1.10","33325","36574"
"173.112.82.221","203.174.5.11","31762","1377"
"173.218.67.133","131.243.1.10","1152","4598"
"174.103.108.68","128.3.12.44","1433","2366"
"174.141.105.254","131.243.1.10","1403","4745"
"174.156.119.108","131.243.1.10","3015","5423"
"175.111.96.67","131.243.1.10","942","4289"
"175.146.77.86","131.243.1.10","906","4183"
"175.156.82.252","131.243.1.10","236","2820"
"175.61.131.91","128.3.12.44","810","1375"
"176.137.232.109","128.3.12.44","3197","2581"
"176.152.171.164","131.243.1.10","4522","10001"
"176.87.117.123","128.3.12.44","1159","1863"
"176.87.117.123","131.243.1.10","1493","5288"
"177.196.211.230","131.243.1.10","2870","7307"
"177.7.14.224","131.243.1.10","1099","4548"
"178.214.186.1","131.243.1.10","1990","5532"
"178.251.75.161","128.3.12.44","1184","1719"
"179.248.25.199","131.243.1.10","1481","5259"
"18.155.227.37","128.3.12.44","1296","1620"
"18.196.27.111","131.243.1.10","875","3857"
"18.197.41.194","131.243.1.10","1612","4521"
"18.23.245.184","131.243.1.10","2433","7251"
"18.26.181.1","131.243.1.10","2077","6601"
"18.51.157.217","131.243.1.10","799","3928"
"181.182.130.222","131.243.1.10","1249","4620"
"181.223.231.99","131.243.2.12","116050","3566"
"181.225.95.48","131.243.1.10","1574","4605"
"182.92.140.177","131.243.1.10","821","3852"
"183.57.175.126","131.243.1.10","1835","4831"
"184.177.31.177","131.243.1.10","873","3851"
"185.36.57.39","131.243.1.10","820","3956"
"185.90.84.96","102.174.154.179","272","223"
"185.90.84.96","107.48.210.162","236","170"
"185.90.84.96","109.160.54.58","1887","1684"
"185.90.84.96","18.90.0.8","236","148"
"185.90.84.96","208.119.87.66","1413","1498"
"185.90.84.96","208.167.163.43","1240","934"
"185.90.84.96","71.213.112.239","542","476"
"186.154.182.123","131.243.1.10","1329","5115"
"186.89.225.107","242.70.74.100","737","1110"
"187.190.50.169","128.3.12.44","1701","2600"
"189.214.156.168","131.243.1.10","874","3788"
"189.30.8.121","131.243.1.10","1516","5511"
"189.65.40.59","131.243.1.10","749","3856"
"19.249.82.185","131.243.1.10","4152","12665"
"190.200.111.237","242.70.74.100","1764","1984"
"190.35.217.89","128.3.28.48","4458","2825"
"192.216.174.122","131.243.2.12","1593","3851"
