"Client IP",Server IP",Data Sent","Data Recieved"
"80.96.243.218","131.243.1.10","1534","5203"
"82.143.24.12","131.243.2.12","90264","9788"
"83.1.240.233","131.243.2.12","123025","4695"
"83.27.116.42","131.243.1.10","769","3956"
"83.57.102.76","131.243.1.10","714","3757"
"83.97.202.251","242.70.74.100","797","1047"
"84.155.130.23","131.243.1.10","727","3663"
"84.68.192.198","131.243.1.10","6975","14193"
"86.107.63.216","131.243.1.10","1216","4078"
"86.112.72.99","131.243.1.10","3580","6577"
"87.193.12.97","128.3.12.44","786","1140"
"87.51.227.21","131.243.1.10","2197","6862"
"88.130.229.190","131.243.56.235","1520","2993"
"88.34.47.48","131.243.1.10","1857","5901"
"89.124.219.32","131.243.2.12","1046","2128"
"89.42.124.234","131.243.2.12","67389","3370"
"89.42.124.234","203.174.5.11","67551","1968"
"89.84.118.117","86.110.60.6","1052","1307"
"9.95.82.129","131.243.1.10","5690","12694"
"90.227.190.180","131.243.2.12","116768","3852"
"90.231.71.195","131.243.1.10","1217","4515"
"90.63.230.194","128.3.12.44","1840","2580"
"91.198.76.64","131.243.1.10","1861","6763"
"91.77.55.54","131.243.1.10","1086","4393"
"92.0.137.12","131.243.1.10","889","4054"
"92.154.179.20","131.243.1.10","975","4285"
"92.209.69.32","131.243.2.12","126417","3848"
"93.120.234.91","128.3.12.44","1296","1621"
"93.184.100.33","128.3.12.44","1975","2419"
"93.231.35.44","203.174.5.11","1627","2059"
"94.115.110.217","128.3.12.44","969","1174"
"94.171.50.198","128.3.12.44","1227","1216"
"96.88.100.70","128.3.12.44","7432","3175"
"97.0.158.29","131.243.1.10","2034","5947"
"97.70.42.106","131.243.1.10","1668","5538"
"98.176.85.186","131.243.1.10","2443","7157"
"98.197.218.164","131.243.193.93","1033","997"
"98.7.14.113","131.243.1.10","3688","9580"
"99.31.61.101","131.243.1.10","1403","4743"
"99.76.250.164","131.243.2.12","5912","5594"
