"Connection Duration","Probability"
"0","0.0225806"
"1","0.0870968"
"2","0.114516"
"3","0.146774"
"4","0.18871"
"5","0.212903"
"6","0.240323"
"7","0.259677"
"8","0.279032"
"9","0.290323"
"10","0.295161"
"11","0.304839"
"12","0.31129"
"13","0.320968"
"14","0.324194"
"15","0.327419"
"16","0.332258"
"17","0.341935"
"18","0.343548"
"19","0.346774"
"20","0.353226"
"21","0.353226"
"22","0.354839"
"23","0.36129"
"24","0.364516"
"25","0.364516"
"26","0.372581"
"27","0.372581"
"28","0.377419"
"29","0.379032"
"30","0.382258"
"31","0.383871"
"32","0.387097"
"33","0.387097"
"34","0.390323"
"35","0.395161"
"36","0.398387"
"37","0.398387"
"38","0.398387"
"39","0.401613"
"40","0.403226"
"41","0.403226"
"42","0.404839"
"43","0.404839"
"44","0.404839"
"45","0.406452"
"46","0.406452"
"47","0.406452"
"48","0.41129"
"49","0.412903"
"50","0.414516"
"51","0.414516"
"52","0.414516"
"53","0.416129"
"54","0.416129"
"55","0.419355"
"56","0.419355"
"57","0.422581"
"58","0.424194"
"59","0.425806"
"60","0.425806"
"61","0.425806"
"62","0.425806"
"63","0.427419"
"64","0.427419"
"65","0.427419"
"66","0.429032"
"67","0.429032"
"68","0.430645"
"69","0.430645"
"70","0.430645"
"71","0.430645"
"72","0.432258"
"73","0.433871"
"74","0.435484"
"75","0.435484"
"76","0.437097"
"77","0.43871"
"78","0.43871"
"79","0.43871"
"80","0.440323"
"81","0.443548"
"82","0.443548"
"83","0.445161"
"84","0.445161"
"85","0.445161"
"86","0.445161"
"87","0.445161"
"88","0.445161"
"89","0.446774"
"90","0.446774"
"91","0.448387"
"92","0.448387"
"93","0.448387"
"94","0.451613"
"95","0.453226"
"96","0.456452"
"97","0.456452"
"98","0.459677"
"99","0.459677"
"100","0.459677"
"101","0.459677"
"102","0.459677"
"103","0.459677"
"104","0.459677"
"105","0.459677"
"106","0.462903"
"107","0.462903"
"108","0.462903"
"109","0.462903"
"110","0.462903"
"111","0.462903"
"112","0.462903"
"113","0.462903"
"114","0.462903"
"115","0.462903"
"116","0.464516"
"117","0.464516"
"118","0.464516"
"119","0.466129"
"120","0.466129"
"121","0.466129"
"122","0.466129"
"123","0.467742"
"124","0.467742"
"125","0.467742"
"126","0.469355"
"127","0.469355"
"128","0.469355"
"129","0.469355"
"130","0.470968"
"131","0.470968"
"132","0.472581"
"133","0.474194"
"134","0.474194"
"135","0.474194"
"136","0.475806"
"137","0.475806"
"138","0.477419"
"139","0.482258"
"140","0.482258"
"141","0.483871"
"142","0.485484"
"143","0.487097"
"144","0.487097"
"145","0.487097"
"146","0.487097"
"147","0.487097"
"148","0.487097"
"149","0.487097"
"150","0.487097"
"151","0.487097"
"152","0.48871"
"153","0.48871"
"154","0.490323"
"155","0.490323"
"156","0.490323"
"157","0.490323"
"158","0.490323"
"159","0.493548"
"160","0.493548"
"161","0.495161"
"162","0.495161"
"163","0.495161"
"164","0.495161"
"165","0.495161"
"166","0.495161"
"167","0.495161"
"168","0.496774"
"169","0.498387"
"170","0.498387"
"171","0.5"
"172","0.501613"
"173","0.503226"
"174","0.503226"
"175","0.506452"
"176","0.508065"
"177","0.509677"
"178","0.509677"
"179","0.509677"
"180","0.509677"
"181","0.51129"
"182","0.51129"
"183","0.51129"
"184","0.51129"
"185","0.51129"
"186","0.51129"
"187","0.51129"
"188","0.51129"
"189","0.51129"
"190","0.51129"
"191","0.512903"
"192","0.514516"
"193","0.514516"
"194","0.514516"
"195","0.514516"
"196","0.514516"
"197","0.514516"
"198","0.516129"
"199","0.516129"
"200","0.516129"
"201","0.517742"
"202","0.517742"
"203","0.517742"
"204","0.517742"
"205","0.517742"
"206","0.519355"
"207","0.519355"
"208","0.522581"
"209","0.522581"
"210","0.524194"
"211","0.524194"
"212","0.524194"
"213","0.525806"
"214","0.527419"
"215","0.529032"
"216","0.529032"
"217","0.530645"
"218","0.530645"
"219","0.530645"
"220","0.530645"
"221","0.530645"
"222","0.530645"
"223","0.533871"
"224","0.533871"
"225","0.533871"
"226","0.533871"
"227","0.533871"
"228","0.533871"
"229","0.533871"
"230","0.533871"
"231","0.535484"
"232","0.535484"
"233","0.535484"
"234","0.535484"
"235","0.535484"
"236","0.53871"
"237","0.53871"
"238","0.53871"
"239","0.540323"
"240","0.540323"
"241","0.540323"
"242","0.540323"
"243","0.540323"
"244","0.540323"
"245","0.541935"
"246","0.541935"
"247","0.541935"
"248","0.541935"
"249","0.541935"
"250","0.541935"
"251","0.541935"
"252","0.541935"
"253","0.541935"
"254","0.541935"
"255","0.541935"
"256","0.541935"
"257","0.541935"
"258","0.543548"
"259","0.543548"
"260","0.543548"
"261","0.543548"
"262","0.543548"
"263","0.543548"
"264","0.543548"
"265","0.543548"
"266","0.543548"
"267","0.543548"
"268","0.543548"
"269","0.545161"
"270","0.545161"
"271","0.545161"
"272","0.545161"
"273","0.545161"
"274","0.546774"
"275","0.546774"
"276","0.546774"
"277","0.546774"
"278","0.548387"
"279","0.55"
"280","0.55"
"281","0.551613"
"282","0.551613"
"283","0.553226"
"284","0.553226"
"285","0.553226"
"286","0.553226"
"287","0.553226"
"288","0.553226"
"289","0.554839"
"290","0.554839"
"291","0.554839"
"292","0.554839"
"293","0.554839"
"294","0.554839"
"295","0.554839"
"296","0.556452"
"297","0.556452"
"298","0.556452"
"299","0.556452"
"300","0.556452"
"301","0.559677"
"302","0.564516"
"303","0.574194"
"304","0.590323"
"305","0.591935"
"306","0.596774"
"307","0.6"
"308","0.608065"
"309","0.609677"
"310","0.61129"
"311","0.61129"
"312","0.61129"
"313","0.614516"
"314","0.617742"
"315","0.617742"
"316","0.619355"
"317","0.619355"
"318","0.619355"
"319","0.620968"
"320","0.620968"
"321","0.620968"
"322","0.622581"
"323","0.622581"
"324","0.622581"
"325","0.622581"
"326","0.622581"
"327","0.622581"
