"Connection Duration","Probability"
"0","0.0142712"
"1","0.0203874"
"2","0.0489297"
"3","0.0703364"
"4","0.101937"
"5","0.126402"
"6","0.152905"
"7","0.179409"
"8","0.19368"
"9","0.203874"
"10","0.213048"
"11","0.219164"
"12","0.227319"
"13","0.238532"
"14","0.245668"
"15","0.250765"
"16","0.2579"
"17","0.260958"
"18","0.262997"
"19","0.267074"
"20","0.273191"
"21","0.276249"
"22","0.279307"
"23","0.281346"
"24","0.284404"
"25","0.285423"
"26","0.289501"
"27","0.291539"
"28","0.293578"
"29","0.296636"
"30","0.298675"
"31","0.299694"
"32","0.300714"
"33","0.30683"
"34","0.311927"
"35","0.313965"
"36","0.317023"
"37","0.319062"
"38","0.321101"
"39","0.326198"
"40","0.329256"
"41","0.330275"
"42","0.331295"
"43","0.333333"
"44","0.336391"
"45","0.341488"
"46","0.345566"
"47","0.348624"
"48","0.351682"
"49","0.352701"
"50","0.35474"
"51","0.355759"
"52","0.356779"
"53","0.356779"
"54","0.358818"
"55","0.358818"
"56","0.360856"
"57","0.360856"
"58","0.361876"
"59","0.362895"
"60","0.364934"
"61","0.366972"
"62","0.369011"
"63","0.369011"
"64","0.370031"
"65","0.37105"
"66","0.372069"
"67","0.372069"
"68","0.374108"
"69","0.377166"
"70","0.378186"
"71","0.380224"
"72","0.380224"
"73","0.383282"
"74","0.384302"
"75","0.384302"
"76","0.384302"
"77","0.38634"
"78","0.38736"
"79","0.388379"
"80","0.389399"
"81","0.392457"
"82","0.394495"
"83","0.395515"
"84","0.396534"
"85","0.397554"
"86","0.398573"
"87","0.399592"
"88","0.401631"
"89","0.40367"
"90","0.404689"
"91","0.404689"
"92","0.405708"
"93","0.405708"
"94","0.407747"
"95","0.407747"
"96","0.407747"
"97","0.407747"
"98","0.408767"
"99","0.410805"
"100","0.411825"
"101","0.411825"
"102","0.413863"
"103","0.413863"
"104","0.414883"
"105","0.415902"
"106","0.415902"
"107","0.416922"
"108","0.416922"
"109","0.417941"
"110","0.41896"
"111","0.41896"
"112","0.41998"
"113","0.41998"
"114","0.420999"
"115","0.420999"
"116","0.420999"
"117","0.423038"
"118","0.424057"
"119","0.425076"
"120","0.425076"
"121","0.426096"
"122","0.426096"
"123","0.427115"
"124","0.428135"
"125","0.428135"
"126","0.428135"
"127","0.429154"
"128","0.429154"
"129","0.432212"
"130","0.432212"
"131","0.432212"
"132","0.432212"
"133","0.432212"
"134","0.432212"
"135","0.432212"
"136","0.434251"
"137","0.434251"
"138","0.434251"
"139","0.43527"
"140","0.43629"
"141","0.438328"
"142","0.440367"
"143","0.440367"
"144","0.440367"
"145","0.440367"
"146","0.442406"
"147","0.443425"
"148","0.444444"
"149","0.444444"
"150","0.446483"
"151","0.447503"
"152","0.448522"
"153","0.450561"
"154","0.450561"
"155","0.450561"
"156","0.450561"
"157","0.45158"
"158","0.452599"
"159","0.453619"
"160","0.453619"
"161","0.454638"
"162","0.454638"
