"6671","3504.393643","66.224.210.96","131.243.1.10","TCP","74","64460  >  21 [SYN] Seq=1319903559 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=1744052 TSecr=0 WS=1"
"6794","3616.817813","24.190.46.234","131.243.1.10","TCP","58","36078  >  21 [SYN] Seq=2853901118 Win=8760 Len=0 MSS=1460"
"6925","3844.943127","198.132.228.204","128.3.28.48","TCP","62","4218  >  21 [SYN] Seq=3898299642 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6994","4116.951094","169.92.87.70","203.174.5.11","TCP","62","2722  >  21 [SYN] Seq=899654746 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"7636","4401.873731","157.231.148.18","131.243.2.12","TCP","62","1678  >  21 [SYN] Seq=2738632225 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"8779","4538.515883","107.34.21.92","131.243.2.12","TCP","62","4303  >  21 [SYN] Seq=2507109066 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"12144","4851.342717","83.27.116.42","131.243.1.10","TCP","62","34142  >  21 [SYN] Seq=3065272175 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"14095","5247.501404","255.143.100.71","131.243.1.10","TCP","62","2517  >  21 [SYN] Seq=3794639057 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"14453","5366.019371","177.81.214.10","203.174.5.11","TCP","74","1249  >  21 [SYN] Seq=3263617581 Win=32568 Len=0 MSS=472 SACK_PERM=1 TSval=111777887 TSecr=0 WS=1"
"14495","5378.008254","116.177.87.124","131.243.1.10","TCP","74","3150  >  21 [SYN] Seq=3279849938 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=124561754 TSecr=0 WS=1"
"14839","5422.987213","38.5.158.54","131.243.2.12","TCP","62","2520  >  21 [SYN] Seq=2167604509 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"15258","5537.420617","12.47.80.49","131.243.1.10","TCP","74","2074  >  21 [SYN] Seq=1799203319 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=986718068 TSecr=0 WS=1"
"16323","6070.284673","97.0.158.29","131.243.1.10","TCP","74","47802  >  21 [SYN] Seq=4013815541 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=433865417 TSecr=0 WS=1"
"17747","6767.292469","9.134.163.63","131.243.1.10","TCP","62","2295  >  21 [SYN] Seq=967493357 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"18170","6951.420481","165.196.252.224","131.243.1.10","TCP","62","1096  >  21 [SYN] Seq=18435518 Win=8192 Len=0 MSS=536 SACK_PERM=1"
"19733","7376.653200","131.201.66.31","131.243.2.12","TCP","62","4702  >  21 [SYN] Seq=894671545 Win=35100 Len=0 MSS=1460 SACK_PERM=1"
"20210","7464.388946","94.115.110.217","128.3.12.44","TCP","74","53384  >  21 [SYN] Seq=217468467 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3447403055 TSecr=0 WS=1"
"20301","7486.494085","42.47.103.207","131.243.1.10","TCP","62","61645  >  21 [SYN] Seq=34055153 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"20365","7494.078564","123.229.236.233","131.243.1.10","TCP","66","1086  >  21 [SYN] Seq=3716810910 Win=16384 Len=0 MSS=1452 WS=1 SACK_PERM=1"
"20898","7600.343144","6.80.138.33","131.243.1.10","TCP","74","36252  >  21 [SYN] Seq=1583076829 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=13677845 TSecr=0 WS=1"
"21954","7900.319481","106.20.55.102","131.243.1.10","TCP","62","1454  >  21 [SYN] Seq=511417104 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"22300","7944.029179","102.182.6.132","131.243.1.10","TCP","74","52287  >  21 [SYN] Seq=1698719749 Win=5840 Len=0 MSS=1460 TSval=338729781 TSecr=0 WS=1"
"22593","7977.151618","127.1.58.114","131.243.1.10","TCP","62","1151  >  21 [SYN] Seq=2282535 Win=8192 Len=0 MSS=1460"
"23058","8077.170278","141.25.137.236","131.243.1.10","TCP","62","1123  >  21 [SYN] Seq=6392914 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"23311","8253.105037","211.57.73.255","131.243.2.12","TCP","62","1262  >  21 [SYN] Seq=2167627862 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"23977","8378.106651","225.76.177.112","131.243.1.10","TCP","62","3480  >  21 [SYN] Seq=10752287 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"24603","8559.890674","72.115.210.168","131.243.193.93","TCP","62","2151  >  21 [SYN] Seq=4531052 Win=8192 Len=0 MSS=536 SACK_PERM=1"
"25629","9051.337781","131.88.227.195","131.243.1.10","TCP","74","1308  >  21 [SYN] Seq=505568379 Win=57344 Len=0 MSS=1460 WS=1 TSval=97368358 TSecr=0"
"25773","9091.392849","165.78.71.101","128.3.28.48","TCP","74","36530  >  21 [SYN] Seq=2926026246 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=693790102 TSecr=0 WS=1"
"25953","9157.219185","108.97.140.165","131.243.1.10","TCP","74","48530  >  21 [SYN] Seq=2928133099 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=268870996 TSecr=0 WS=1"
"26045","9190.400328","76.166.36.94","128.3.12.44","TCP","74","34819  >  21 [SYN] Seq=355585952 Win=5840 Len=0 MSS=1380 SACK_PERM=1 TSval=79272507 TSecr=0 WS=1"
"26159","9222.927934","150.121.58.207","128.3.12.44","TCP","58","2092  >  21 [SYN] Seq=1190577387 Win=8192 Len=0 MSS=1380"
"26220","9242.219999","193.183.106.128","131.243.1.10","TCP","58","34901  >  21 [SYN] Seq=2871781812 Win=8192 Len=0 MSS=1380"
"26276","9245.433104","186.4.2.111","131.243.1.10","TCP","58","4698  >  21 [SYN] Seq=3794204489 Win=8192 Len=0 MSS=1460"
"28195","9778.317321","114.177.57.83","131.243.1.10","TCP","58","49002  >  21 [SYN] Seq=3225138735 Win=64240 Len=0 MSS=1460"
"28288","9798.787507","42.210.238.96","131.243.1.10","TCP","62","1838  >  21 [SYN] Seq=2878067271 Win=16384 Len=0 MSS=1440 SACK_PERM=1"
"28606","9959.027126","165.252.43.195","131.243.2.12","TCP","62","2972  >  21 [SYN] Seq=2905121763 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"28744","10001.284878","103.235.43.184","131.243.1.10","TCP","62","62169  >  21 [SYN] Seq=3356390204 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"29168","10116.065376","189.116.125.99","131.243.1.10","TCP","74","54110  >  21 [SYN] Seq=2002511608 Win=5840 Len=0 MSS=1380 SACK_PERM=1 TSval=54584350 TSecr=0 WS=1"
"29539","10188.278733","18.255.20.15","131.243.1.10","TCP","74","61077  >  21 [SYN] Seq=4091109005 Win=5840 Len=0 MSS=1412 SACK_PERM=1 TSval=53415 TSecr=0 WS=1"
"29877","10294.572205","20.105.218.163","131.243.2.12","TCP","62","2102  >  21 [SYN] Seq=2485184133 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"30829","10478.561415","41.79.73.209","128.3.28.48","TCP","74","33082  >  21 [SYN] Seq=1459071900 Win=32440 Len=0 MSS=1404 SACK_PERM=1 TSval=188395528 TSecr=0 WS=1"
"31812","10655.309768","232.76.144.51","131.243.1.10","TCP","74","32867  >  21 [SYN] Seq=327464109 Win=5840 Len=0 MSS=1452 SACK_PERM=1 TSval=128486 TSecr=0 WS=1"
"32163","10755.252059","150.205.207.154","131.243.1.10","TCP","78","2827  >  21 [SYN] Seq=3405163144 Win=32768 Len=0 MSS=1460 WS=1 TSval=0 TSecr=0 SACK_PERM=1"
"32305","10783.458402","120.16.202.242","131.243.1.10","TCP","62","10219  >  21 [SYN] Seq=400630575 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"32518","10820.198766","82.145.243.51","131.243.1.10","TCP","62","1483  >  21 [SYN] Seq=410010813 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"32816","10861.867790","69.163.37.69","131.243.1.10","TCP","62","32849  >  21 [SYN] Seq=2797172771 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"33236","10914.153675","163.64.85.121","131.243.1.10","TCP","62","1068  >  21 [SYN] Seq=2240203630 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"33498","10969.142711","216.74.174.215","128.3.12.44","TCP","62","3725  >  21 [SYN] Seq=4251601099 Win=16384 Len=0 MSS=1452 SACK_PERM=1"
"33750","11232.049188","245.101.211.214","131.243.1.10","TCP","74","32972  >  21 [SYN] Seq=886869339 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=13092197 TSecr=0 WS=1"
"33922","11489.450857","38.93.253.216","203.174.5.11","TCP","62","4318  >  21 [SYN] Seq=1942454101 Win=35100 Len=0 MSS=1460 SACK_PERM=1"
"34320","11607.506672","227.150.66.109","131.243.1.10","TCP","62","1840  >  21 [SYN] Seq=2993549439 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"34784","11747.664665","222.128.122.183","131.243.1.10","TCP","62","62665  >  21 [SYN] Seq=1544117621 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"34841","11751.185327","23.189.2.205","131.243.1.10","TCP","74","1027  >  21 [SYN] Seq=1393759028 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=100883 TSecr=0 WS=1"
"35187","11803.118020","143.177.34.19","131.243.1.10","TCP","62","4375  >  21 [SYN] Seq=3557075347 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
